Date,open,high,low,close,volume,adj_close,ret_1d,mom_5d,mom_5d_z,fwd_ret_5d,signal_z,position,strategy_ret_net,equity_strategy,equity_buyhold
2015-12-28,107.589996,107.690002,106.18,106.82,26704200,104.043982,-0.011200585395508833,0.007450725112116752,0.26897882901567766,-0.03847593991548692,0.26897882901567766,0,-0.008450725112116753,0.9568389757073198,0.8277350939835596
2015-12-29,106.959999,109.43,106.860001,108.739998,30931200,105.914084,0.01797414866339886,0.01313701355311947,0.41300440923249965,-0.07393784380932755,0.41300440923249965,0,0.0,0.9568389757073198,0.8426129276167326
2015-12-30,108.580002,108.699997,107.18,107.32,25213800,104.530989,-0.013058650443504738,0.0008392876707465913,0.044878815836448295,-0.10128590670848825,0.044878815836448295,0,0.0,0.9568389757073198,0.8316095399358074
2015-12-31,107.010002,107.029999,104.82,105.260002,40635300,102.524526,-0.019194910707292845,-0.03084428764787972,-0.8576117831461665,-0.07885239089035134,-0.8576117831461665,0,0.0,0.9568389757073198,0.8156468690734068
2016-01-04,102.610001,105.370003,102.0,105.349998,67649400,102.612183,0.0008549856646009601,-0.024807927077522662,-0.6643137730669324,-0.06473659175538637,-0.6643137730669324,0,0.0,0.9568389757073198,0.8163442354538412
2016-01-05,105.75,105.849998,102.410004,102.709999,55791000,100.040792,-0.025059314837888258,-0.03847593991548692,-1.034968369772644,-0.026774418179336235,-1.034968369772644,-1,0.0,0.9568389757073198,0.7958872082415082
2016-01-06,100.559998,102.370003,99.870003,100.699997,68457400,98.083025,-0.01956968713322449,-0.07393784380932755,-1.9538710872525669,-0.0328698875264094,-1.9538710872525669,-1,0.0,0.9568389757073198,0.7803119445828863
2016-01-07,98.68,100.129997,96.43,96.449997,81094400,93.943473,-0.04220457107639175,-0.10128590670848825,-2.5207835082859695,0.03182996012932171,-2.5207835082859695,-1,0.0,0.9568389757073198,0.7473792136559805
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,94.440222,0.005287743620038476,-0.07885239089035134,-1.836246044809105,0.001753278385982604,-1.836246044809105,-1,0.0,0.9568389757073198,0.7513311633247393
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,95.96942,0.016192232161419406,-0.06473659175538637,-1.422758086643115,-0.01897894141696388,-1.422758086643115,-1,0.0,0.9568389757073198,0.7634968919514028
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,97.362258,0.014513352274089009,-0.026774418179336235,-0.4460300940785172,-0.031712668372995134,-0.4460300940785172,0,0.025774418179336234,0.981500943597488,0.7745777913044656
2016-01-13,100.32,101.190002,97.300003,97.389999,62439600,94.859047,-0.02571028087701077,-0.0328698875264094,-0.5887524005252351,-0.011192079549354972,-0.5887524005252351,0,0.0,0.981500943597488,0.7546631787289332
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,96.93369,0.021870797415875387,0.03182996012932171,1.0224766094999855,0.019091659463288835,1.0224766094999855,1,0.0,0.981500943597488,0.7711682642281342
2016-01-15,96.199997,97.709999,95.360001,97.129997,79010000,94.605802,-0.02401526239226015,0.001753278385982604,0.27737891141170806,0.023782611134145926,0.27737891141170806,0,0.0,0.981500943597488,0.7526484560141118
2016-01-19,98.410004,98.650002,95.5,96.660004,53087700,94.148022,-0.004838815276889674,-0.01897894141696388,-0.22368408489770397,0.03445059100657466,-0.22368408489770397,0,0.0,0.981500943597488,0.7490065291670233
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,94.274641,0.001344892832692901,-0.031712668372995134,-0.5232001427949017,-0.03481766639662953,-0.5232001427949017,0,0.0,0.981500943597488,0.7500138626797401
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,93.797377,-0.005062485467327349,-0.011192079549354972,0.037792126058789725,-0.02294918119085576,0.037792126058789725,0,0.0,0.981500943597488,0.7462169283996299
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,98.784315,0.05316713707250065,0.019091659463288835,0.8538260862311838,-0.040228765062550687,0.8538260862311838,0,0.018091659463288834,0.9992579244319505,0.7858911461176735
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,96.855775,-0.019522734960504717,0.023782611134145926,0.9662329956348127,-0.030269532198776927,0.9662329956348127,0,0.0,0.9992579244319505,0.7705484015642109
2016-01-26,99.93,100.879997,98.07,99.989998,75077000,97.391477,0.005530924717705332,0.03445059100657466,1.2677539605606576,-0.05510544829297537,1.2677539605606576,1,0.0,0.9992579244319505,0.7748102467646107
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,90.992218,-0.06570656074966397,-0.03481766639662953,-0.5663823851084567,0.03136373706155848,-0.5663823851084567,0,0.0,0.9992579244319505,0.7239001302161098
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,91.644804,0.007171888039920082,-0.02294918119085576,-0.23051202955943462,0.032247578378802766,-0.23051202955943462,0,0.0,0.9992579244319505,0.7290918609021033
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,94.810344,0.03454140182350107,-0.040228765062550687,-0.6780540025851887,-0.028866111908633085,-0.6780540025851887,0,0.0,0.9992579244319505,0.754275715835767
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,93.923996,-0.00934864238020272,-0.030269532198776927,-0.3706162229008302,-0.00937937095436192,-0.3706162229008302,0,0.0,0.9992579244319505,0.747224261912347
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,92.024676,-0.020221882382431833,-0.05510544829297537,-1.0683397914072323,0.010853415012295198,-1.0683397914072323,-1,-0.05610544829297537,0.9431941106213878,0.7321139807746561
2016-02-03,95.0,96.839996,94.080002,96.349998,45964300,93.846074,0.019792495656273834,0.03136373706155848,1.4600682270664243,-0.01627890155532763,1.4600682270664243,1,0.0,0.9431941106213878,0.7466043435590358
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,94.600127,0.00803499781994077,0.032247578378802766,1.4650805870524097,-0.0300207207967067,1.4650805870524097,1,0.0,0.9431941106213878,0.752603307831891
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,92.073538,-0.02670809310858535,-0.028866111908633085,-0.29059627111334074,-0.00031907104514650175,-0.29059627111334074,0,0.0,0.9431941106213878,0.7325027086124876
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,93.043048,0.010529735481653812,-0.00937937095436192,0.25886436708474275,0.01715605877399895,0.25886436708474275,0,0.0,0.9431941106213878,0.740215768373772
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,93.023458,-0.00021054770260742206,0.010853415012295198,0.8201061267541127,0.032950892881234095,0.8201061267541127,0,-0.011853415012295199,0.9320140393910399,0.7400599176443071
2016-02-10,95.919998,96.349998,94.099998,94.269997,42343600,92.318363,-0.007579754775402958,-0.01627890155532763,0.018533946553912897,0.02110963557705192,0.018533946553912897,0,0.0,0.9320140393910399,0.7344504449494583
2016-02-11,93.790001,94.720001,92.589996,93.699997,50074700,91.760163,-0.006046467700039249,-0.0300207207967067,-0.4120242772016785,0.024973364530749498,-0.4120242772016785,0,0.0,0.9320140393910399,0.730009614056792
2016-02-12,94.190002,94.5,93.010002,93.989998,40351400,92.04416,0.003094992322539847,-0.00031907104514650175,0.4520229377826458,0.03074794750693588,0.4520229377826458,0,0.0,0.9320140393910399,0.732268988207678
2016-02-16,95.019997,96.849998,94.610001,96.639999,49057900,94.6393,0.028194510113406457,0.01715605877399895,0.9496678875973722,-0.02017794932971817,0.9496678875973722,0,0.0,0.9320140393910399,0.7529149536014333
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,96.088664,0.0153146103151649,0.032950892881234095,1.3933165718801177,-0.0205870798661536,1.3933165718801177,1,0.0,0.9320140393910399,0.7644455527162998
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,94.26717,-0.01895638802928934,0.02110963557705192,1.049405267712108,0.005194257979739936,1.049405267712108,1,0.0,0.9320140393910399,0.749954426191745
2016-02-19,96.0,96.760002,95.800003,96.040001,35374200,94.051723,-0.002285493454401988,0.024973364530749498,1.2217832186490634,0.009058760146265499,1.2217832186490634,1,0.0,0.9320140393910399,0.748240410259584
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,94.874329,0.008746315046243236,0.03074794750693588,1.3993638410900473,-0.001961131129580962,1.3993638410900473,1,0.0,0.9320140393910399,0.7547847566180446
2016-02-23,96.400002,96.5,94.550003,94.690002,31942600,92.729673,-0.022605229703390073,-0.02017794932971817,-0.1306175705319912,0.06167489666441517,-0.1306175705319912,0,0.0,0.9320140393910399,0.7377226738180763
2016-02-24,93.980003,96.379997,93.32,96.099998,36255700,94.110479,0.014890659648934435,-0.0205870798661536,-0.1299217502028959,0.04838710894245901,-0.1299217502028959,0,-0.021587079866153602,0.9118945778863291,0.7487078510692031
2016-02-25,96.050003,96.760002,95.25,96.760002,27582700,94.756818,0.006867874936647533,0.005194257979739936,0.6781170859457865,0.048987166284963246,0.6781170859457865,0,0.0,0.9118945778863291,0.7538498829544326
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,94.903715,0.0015502525633566133,0.009058760146265499,0.7872272934248145,0.06294497533631849,0.7872272934248145,0,0.0,0.9118945778863291,0.7550185406678688
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,94.688268,-0.0022701640288792513,-0.001961131129580962,0.43975546321804465,0.05357327900432174,0.43975546321804465,0,0.0,0.9118945778863291,0.7533045247357076
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,98.448766,0.0397145082429855,0.06167489666441517,2.2865358593628415,0.004973642838753234,2.2865358593628415,1,0.0,0.9118945778863291,0.7832216434928022
2016-03-02,100.510002,100.889999,99.639999,100.75,33169600,98.664213,0.0021884174759487784,0.04838710894245901,1.8005613749607796,0.0036724865985602317,1.8005613749607796,1,0.0,0.9118945778863291,0.7849356594249631
2016-03-03,100.580002,101.709999,100.449997,101.5,36955700,99.398686,0.007444168231494297,0.048987166284963246,1.7579636884795633,-0.0032512502227645124,1.7579636884795633,1,0.0,0.9118945778863291,0.7907788525246214
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,100.877427,0.014876866682120848,0.06294497533631849,2.049562317420473,-0.007280845892312371,2.049562317420473,1,0.0,0.9118945778863291,0.8025431640886708
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,99.761029,-0.011066876239815282,0.05357327900432174,1.72896951863351,0.006380617826225565,1.72896951863351,1,0.0,0.9118945778863291,0.7936615182145916
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,98.938415,-0.008245845178681876,0.004973642838753234,0.4201443005616484,0.035138110914754384,0.4201443005616484,0,0.003973642838753234,0.9155181212454451,0.7871171082111165
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,99.026556,0.0008908673137728584,0.0036724865985602317,0.3877887990242614,0.04796280100865058,0.3877887990242614,0,0.0,0.9155181212454451,0.7878183251149332
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,99.075516,0.0004944128320487629,-0.0032512502227645124,0.18327498192384206,0.045764606464426594,0.18327498192384206,0,0.0,0.9155181212454451,0.7882078326041932
2016-03-11,102.239998,102.279999,101.5,102.260002,27408200,100.142954,0.010773983755986816,-0.007280845892312371,0.055984877135502306,0.03579108521204599,0.055984877135502306,0,0.0,0.9155181212454451,0.7966999709890124
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,100.397566,0.0025424854153992538,0.006380617826225565,0.4041329825584158,0.03306678769483318,0.4041329825584158,0,0.0,0.9155181212454451,0.7987255690457009
2016-03-15,103.959999,105.18,103.849998,104.580002,40067700,102.414924,0.020093694303306098,0.035138110914754384,1.1641403287648484,0.020462798956917716,1.1641403287648484,1,0.0,0.9155181212454451,0.8147749164623395
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,103.776147,0.013291256262612627,0.04796280100865058,1.4703564776620546,0.001509817087350429,1.4703564776620546,1,0.0,0.9155181212454451,0.8256042986733892
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,103.609668,-0.001604212574976338,0.045764606464426594,1.3679134367359846,-0.0012287849431193987,1.3679134367359846,1,0.0,0.9155181212454451,0.8242798538755028
2016-03-18,106.339996,106.5,105.190002,105.919998,44205200,103.727179,0.0011341702204856752,0.03579108521204599,1.0545618487346125,-0.006891954518497001,1.0545618487346125,1,0.0,0.9155181212454451,0.8252147275391147
2016-03-21,105.93,107.650002,105.139999,105.910004,35502700,103.717391,-9.436292488007592e-05,0.03306678769483318,0.9467323147857548,0.016712269594209017,0.9467323147857548,0,0.0,0.9155181212454451,0.82513685786377
2016-03-22,105.25,107.290001,105.209999,106.720001,32444400,104.51062,0.007647984512066941,0.020462798956917716,0.5748503664341735,0.0266116591787513,0.5748503664341735,0,0.019462798956917715,0.9333366663806603,0.8314474917730477
2016-03-23,106.480003,107.07,105.900002,106.129997,25703500,103.93283,-0.005528529062405418,0.001509817087350429,0.04108392968189956,0.026948087529224507,0.04108392968189956,0,0.0,0.9333366663806603,0.8268508101509163
2016-03-24,105.470001,106.25,104.889999,105.669998,26133000,103.482354,-0.004334299373932149,-0.0012287849431193987,-0.031366100921350955,0.0408819942383607,-0.031366100921350955,0,0.0,0.9333366663806603,0.823266991202144
2016-03-28,106.0,106.190002,105.059998,105.190002,19411400,103.012296,-0.0045423976342864325,-0.006891954518497001,-0.18041021736763221,0.05637418274804773,-0.18041021736763221,0,0.0,0.9333366663806603,0.8195273851689212
2016-03-29,104.889999,107.790001,104.879997,107.68,31190100,105.450744,0.023671426564455977,0.016712269594209017,0.4712987484073278,0.019780808753705914,0.4712987484073278,0,0.0,0.9333366663806603,0.838926767484508
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,107.291821,0.017459118164211418,0.0266116591787513,0.7221735513670866,0.012778401813126061,0.7221735513670866,0,0.0,0.9333366663806603,0.85357368904914
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,106.733621,-0.0052026332929888675,0.026948087529224507,0.7075317332361063,-0.004128783375577649,0.7075317332361063,0,0.0,0.9333366663806603,0.8491328581564737
2016-04-01,108.779999,110.0,108.199997,109.989998,25874000,107.712919,0.00917515953103476,0.0408819942383607,1.0614027126160193,-0.012091957140257237,1.0614027126160193,1,0.0,0.9333366663806603,0.8569237875931028
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,108.81953,0.01027370727925403,0.05637418274804773,1.4672700293495915,-0.018898546979572606,1.4672700293495915,1,0.0,0.9333366663806603,0.8657275717474641
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,107.536645,-0.011789106238558555,0.019780808753705914,0.3939461232998938,0.005737225668515089,0.3939461232998938,0,0.0,0.9333366663806603,0.8555214174304839
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,108.662839,0.010472653298789547,0.012778401813126061,0.13649784669666384,0.009733253886363036,0.13649784669666384,0,0.0,0.9333366663806603,0.8644809966249224
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,106.292941,-0.02180964552196185,-0.004128783375577649,-0.4857085141329151,0.03279894193538202,-0.4857085141329151,0,0.0,0.9333366663806603,0.8456269725280605
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,106.410459,0.0011056049338216134,-0.012091957140257237,-0.7811603632040478,0.010951545655864425,-0.7811603632040478,0,-0.013091957140257238,0.921117462746974,0.8465619018810602
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,106.762999,0.0033130201985125396,-0.018898546979572606,-1.041967186115064,-0.014125783409287718,-1.041967186115064,-1,0.0,0.921117462746974,0.8493665785612833
2016-04-12,109.339996,110.5,108.660004,110.440002,27232300,108.153607,0.013025186750327267,0.005737225668515089,-0.14409408606361968,-0.03196303938342049,-0.14409408606361968,0,0.0,0.921117462746974,0.8604297368665305
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,109.720482,0.014487496473418737,0.009733253886363036,-0.004936734367911028,-0.04382366821902961,-0.004936734367911028,0,0.0,0.921117462746974,0.8728952096450089
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,109.779237,0.0005354971007145437,0.03279894193538202,0.798554735468311,-0.054683291340419826,0.798554735468311,0,0.0,0.921117462746974,0.8733626424990014
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,107.575818,-0.020071363767995565,0.010951545655864425,-0.018204179265149698,-0.03796084543833078,-0.018204179265149698,0,0.0,0.921117462746974,0.8558330632000261
2016-04-18,108.889999,108.949997,106.940002,107.480003,60834000,105.254888,-0.021574830135151823,-0.014125783409287718,-0.9414374415612576,-0.022329746814228613,-0.9414374415612576,0,0.013125783409287717,0.9332078510575035,0.8373686102374388
2016-04-19,107.879997,108.0,106.230003,106.910004,32384900,104.696689,-0.005303307149022718,-0.03196303938342049,-1.53685716316748,-0.02394542772981101,-1.53685716316748,-1,0.0,0.9332078510575035,0.8329277873003994
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,104.912128,0.0020577441565510224,-0.04382366821902961,-1.8697380435929976,-0.0869037467241156,-1.8697380435929976,-1,0.0,0.9332078510575035,0.8346417395875457
2016-04-21,106.93,106.93,105.519997,105.970001,31552500,103.776147,-0.010827928302054812,-0.054683291340419826,-2.1257707849891045,-0.105124089835403,-2.1257707849891045,-1,0.0,0.9332078510575035,0.8256042986733895
2016-04-22,105.010002,106.480003,104.620003,105.68,33683100,103.492149,-0.002736640434337967,-0.03796084543833078,-1.5520553374743384,-0.11298260895133216,-1.5520553374743384,-1,0.0,0.9332078510575035,0.8233449165668766
2016-04-25,105.0,105.650002,104.510002,105.080002,28031600,102.904573,-0.005677493468610795,-0.022329746814228613,-1.0235479926831481,-0.10886945714258978,-1.0235479926831481,-1,0.0,0.9332078510575035,0.8186703811806543
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,102.189682,-0.006947125663696152,-0.02394542772981101,-1.1015430505918167,-0.08787731622454809,-1.1015430505918167,-1,0.022945427729811008,0.9546207043608358,0.8129829751654463
2016-04-27,96.0,98.709999,95.68,97.82,114602100,95.794871,-0.06257785399508342,-0.0869037467241156,-3.011523915699117,-0.037108949183719764,-3.011523915699117,-1,0.0,0.9546207043608358,0.7621082452450544
2016-04-28,97.610001,97.879997,94.25,94.830002,82242700,92.866774,-0.03056632332643361,-0.105124089835403,-3.3257625518566396,-0.010780486463328742,-3.3257625518566396,-1,0.0,0.9546207043608358,0.7388133982111531
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,91.799336,-0.011494293965676139,-0.11298260895133216,-3.1842126203325907,-0.004858891354072581,-3.1842126203325907,-1,0.0,0.9546207043608358,0.730321259826334
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,91.701408,-0.001066761528645488,-0.10886945714258978,-2.8103394711855034,-0.003044086302360749,-2.8103394711855034,-1,0.0,0.9546207043608358,0.7295421812027993
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,93.209527,0.016445974308267886,-0.08787731622454809,-2.1694351345514407,-0.01251540521174399,-2.1694351345514407,-1,0.08687731622454808,1.037555589168093,0.7415402131716583
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,92.240024,-0.010401329469250431,-0.037108949183719764,-0.9078417498252832,-0.011856404113685048,-0.9078417498252832,0,0.0,1.037555589168093,0.7338272090997617
2016-05-05,94.0,94.07,92.68,93.239998,35890500,91.865625,-0.0040589646854386485,-0.010780486463328742,-0.25807725514901986,-0.031102547879035214,-0.25807725514901986,0,0.0,1.037555589168093,0.7308486303728118
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,91.353293,-0.005576971799843511,-0.004858891354072581,-0.11868667786957923,-0.02372739863903972,-0.11868667786957923,0,0.0,1.037555589168093,0.7267727081712684
2016-05-09,93.0,93.769997,92.589996,92.790001,32936400,91.422261,0.0007549591014743839,-0.003044086302360749,-0.0858013070425952,0.011746909212844603,-0.0858013070425952,0,0.0,1.037555589168093,0.7273213918420055
2016-05-10,93.330002,93.57,92.110001,93.419998,33686800,92.042972,0.006789495175578697,-0.01251540521174399,-0.31248709255915996,0.000749291320145451,-0.31248709255915996,0,0.01151540521174399,1.0495034622070731,0.7322595369230119
2016-05-11,93.480003,93.57,92.459999,92.510002,28719100,91.146389,-0.009740917535778881,-0.011856404113685048,-0.28475390564330333,0.022159714961390353,-0.28475390564330333,0,0.0,1.0495034622070731,0.7251266571590572
